eventName,eventLabel,date,city,country,deviceCategory,browser,sessionSourceMedium,pagePath,eventCount,userEngagementDuration,engagedSessions,screenPageViews
Tab Viewed,User Guide,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,66,4,10,0
Tab Duration,User Guide - 52s,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,43,175,6,0
Click,Start Tutorial,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,24,160,9,0
Tab Viewed,Raw Data Preview,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,24,0,1,0
Click,Clean Data,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,23,43,1,0
page_view,,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,23,0,10,23
Page Leave,,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,22,176,10,0
Tab Duration,Raw Data Preview - 28s,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,16,46,1,0
Tab Viewed,Cleaned Data Preview,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,14,4,4,0
page_view,,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,14,0,6,14
scroll,,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,14,45,9,0
Tab Viewed,Feature Engineered Data,20250418,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,12,0,1,0
scroll,,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,12,12,6,0
session_start,,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,11,0,10,0
Tab Duration,Cleaned Data Preview - 39s,20250418,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,10,17,1,0
Tab Viewed,User Guide,20250416,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,10,0,1,0
Tab Duration,Feature Engineered Data - 46s,20250416,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,9,140,1,0
Tab Viewed,Exploratory Data Analysis,20250419,New York,United States,desktop,Chrome,(not set),/app_new/,9,0,0,0
Tab Viewed,Raw Data Preview,20250419,Surrey,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,9,0,1,0
session_start,,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,9,0,6,0
Click,Apply Numeric ,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,8,28,4,0
Click,Apply Categorical,20250419,New York,United States,desktop,Chrome,(not set),/app_new/,8,21,0,0
Tab Duration,Exploratory Data Analysis - 52s,20250419,New York,United States,desktop,Chrome,(not set),/app_new/,8,35,0,0
Tab Viewed,Cleaned Data Preview,20250419,Chicago,United States,desktop,Chrome,(direct) / (none),/app_new/,8,0,1,0
first_visit,,20250415,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,8,0,7,0
page_view,,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,8,0,1,8
Tab Duration,User Guide - 18s,20250419,Surrey,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,7,33,1,0
Click,Skip Tutorial,20250418,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,6,28,1,0
Tab Duration,Raw Data Preview - 18s,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,6,30,2,0
Tab Duration,Cleaned Data Preview - 8s,20250419,Chicago,United States,desktop,Chrome,(direct) / (none),/app_new/,6,20,1,0
Tab Viewed,Exploratory Data Analysis,20250419,Chicago,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,6,0,2,0
Tab Viewed,User Guide ,20250420,(not set),China,desktop,Chrome,(direct) / (none),/app_new/,6,1,1,0
Tab Duration,Exploratory Data Analysis - 39s,20250420,(not set),China,desktop,Chrome,(direct) / (none),/app_new/,5,24,1,0
Tab Viewed,Raw Data Preview,20250418,Atlanta,United States,desktop,Safari,(direct) / (none),/app_new/,5,0,1,0
Tab Viewed,Cleaned Data Preview,20250419,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,5,0,1,0
first_visit,,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_new/,5,0,3,0
scroll,,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,5,8,1,0
Click,Start Tutorial,20250418,Atlanta,United States,desktop,Safari,(direct) / (none),/app_new/,4,35,1,0
Tab Duration,User Guide - 112s,20250418,Atlanta,United States,desktop,Safari,(direct) / (none),/app_new/,4,18,1,0
Tab Duration,Raw Data Preview - 49s,20250419,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,4,16,1,0
Tab Viewed,Feature Engineered Data,20250415,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,4,0,0,0
Tab Viewed,Exploratory Data Analysis,20250419,Shenyang,China,desktop,Chrome,(direct) / (none),/app_new/,4,1,1,0
first_visit,,20250415,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,4,0,0,0
form_start,,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,4,20,1,0
page_view,,20250415,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,4,0,0,4
session_start,,20250415,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,4,0,0,0
Click,Clean Data,20250415,Ashburn,United States,mobile,Safari,(direct) / (none),/app_new/,3,9,1,0
Click,Apply Numeric,20250419,Boston,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,3,7,1,0
Click,Apply Categorical,20250419,Chicago,United States,desktop,Chrome,(direct) / (none),/app_new/,3,6,1,0
Click,Start Tutorial,20250419,Chicago,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,3,0,2,0
Click,Clean Data,20250419,Surrey,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,3,44,1,0
Tab Duration,Cleaned Data Preview - 21s,20250419,Chicago,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,3,6,1,0
Tab Duration,Feature Engineered Data - 96s,20250419,Shenyang,China,desktop,Chrome,(direct) / (none),/app_new/,3,47,1,0
Tab Viewed,User Guide,20250419,Boston,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,3,0,1,0
page_view,,20250419,Chicago,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,3,0,2,3
Click,Apply Numeric,20250415,Vancouver,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,2,0,2,0
